#ELM_Instance_Download_Version: 1.4
#ELM_Instance_Download_Date: 2022-03-17 09:28:34.137269
#Origin: asimov
#Type: tsv
#NumInstances: 3934
"Accession"	"ELMType"	"ELMIdentifier"	"ProteinName"	"Primary_Acc"	"Accessions"	"Start"	"End"	"References"	"Methods"	"InstanceLogic"	"PDB"	"Organism"
"ELMI003782"	"LIG"	"LIG_CSK_EPIYA_1"	"Q5QT00_BARHN"	"Q5QT00"	"Q5QT00 A0A0H3LZH0"	"266"	"270"	"23051602"	"sequence based prediction"	"true positive"	""	"Bartonella henselae"
"ELMI003783"	"LIG"	"LIG_CSK_EPIYA_1"	"Q5QT00_BARHN"	"Q5QT00"	"Q5QT00 A0A0H3LZH0"	"294"	"298"	"23051602"	"sequence based prediction"	"true positive"	""	"Bartonella henselae"
"ELMI003162"	"LIG"	"LIG_CSK_EPIYA_1"	"Q5QT01_BARHN"	"Q5QT01"	"Q5QT01 A0A0H3M426"	"34"	"38"	"19380118"	"anti tag coimmunoprecipitation; mutation analysis; silac"	"true positive"	""	"Bartonella henselae"
"ELMI003161"	"LIG"	"LIG_CSK_EPIYA_1"	"Q5QT02_BARHN"	"Q5QT02"	"Q5QT02 A0A0H3LXR2"	"208"	"212"	"19380118"	"silac"	"true positive"	""	"Bartonella henselae"
"ELMI003159"	"LIG"	"LIG_CSK_EPIYA_1"	"Q7VLE8_HAEDU"	"Q7VLE8"	"Q7VLE8"	"2466"	"2470"	"24902122"	"anti tag coimmunoprecipitation; mutation analysis; phenotype-based detection assay; protein kinase assay; silac"	"true positive"	""	"Haemophilus ducreyi 35000HP"
"ELMI003160"	"LIG"	"LIG_CSK_EPIYA_1"	"Q7VLE8_HAEDU"	"Q7VLE8"	"Q7VLE8"	"2542"	"2546"	"24902122"	"anti tag coimmunoprecipitation; mutation analysis; phenotype-based detection assay; protein kinase assay; silac"	"true positive"	""	"Haemophilus ducreyi 35000HP"
"ELMI003152"	"LIG"	"LIG_CSK_EPIYA_1"	"Q9RF15_HELPX"	"Q9RF15"	"Q9RF15"	"890"	"894"	"12446738"	"alanine scanning; anti tag coimmunoprecipitation"	"true positive"	""	"Helicobacter pylori"
"ELMI003153"	"LIG"	"LIG_CSK_EPIYA_1"	"Q9RF15_HELPX"	"Q9RF15"	"Q9RF15"	"909"	"913"	"12446738"	"alanine scanning; anti tag coimmunoprecipitation"	"true positive"	""	"Helicobacter pylori"
"ELMI003154"	"LIG"	"LIG_CSK_EPIYA_1"	"Q9RF15_HELPX"	"Q9RF15"	"Q9RF15"	"962"	"966"	"12446738"	"alanine scanning; anti tag coimmunoprecipitation"	"true positive"	""	"Helicobacter pylori"
"ELMI003155"	"LIG"	"LIG_CSK_EPIYA_1"	"Q9RF15_HELPX"	"Q9RF15"	"Q9RF15"	"996"	"1000"	"12446738"	"alanine scanning; anti tag coimmunoprecipitation"	"true positive"	""	"Helicobacter pylori"
"ELMI003156"	"LIG"	"LIG_CSK_EPIYA_1"	"Q9RF15_HELPX"	"Q9RF15"	"Q9RF15"	"1030"	"1034"	"12446738"	"alanine scanning; anti tag coimmunoprecipitation"	"true positive"	""	"Helicobacter pylori"
"ELMI003158"	"LIG"	"LIG_CSK_EPIYA_1"	"SRCN1_HUMAN"	"Q9C0H9-5"	"Q9C0H9 Q75T46 Q8N4W8"	"261"	"265"	"23383002"	"anti tag coimmunoprecipitation; mutation analysis; phenotype-based detection assay; protein kinase assay"	"true positive"	""	"Homo sapiens"
"ELMI002966"	"LIG"	"LIG_CSL_BTD_1"	"A2AEX7_MOUSE"	"A2AEX7"	"A2AEX7"	"190"	"193"	"24290140"	"isothermal titration calorimetry; mutation analysis; x-ray crystallography"	"true positive"	"4J2X"	"Mus musculus"
"ELMI002971"	"LIG"	"LIG_CSL_BTD_1"	"ATX1_HUMAN"	"P54253"	"P54253 Q17S02 Q9UJG2 Q9Y4J1"	"44"	"47"	"21475249"	"two hybrid"	"true positive"	""	"Homo sapiens"
"ELMI002967"	"LIG"	"LIG_CSL_BTD_1"	"EBNA2_EBVG"	"Q3KSV2"	"Q3KSV2"	"289"	"292"	"21475249 21440926"	"coimmunoprecipitation; glutathione s tranferase tag; pull down; two hybrid; western blot"	"true positive"	""	"Human herpesvirus 4"
"ELMI002968"	"LIG"	"LIG_CSL_BTD_1"	"EBNA3_EBVG"	"Q3KST2"	"Q3KST2"	"583"	"586"	"21475249 21440926"	"coimmunoprecipitation; glutathione s tranferase tag; pull down; two hybrid; western blot"	"true positive"	""	"Human herpesvirus 4"
"ELMI002969"	"LIG"	"LIG_CSL_BTD_1"	"EBNA3_EBVG"	"Q3KST2"	"Q3KST2"	"772"	"775"	"21475249 21440926"	"coimmunoprecipitation; glutathione s tranferase tag; pull down; two hybrid; western blot"	"true positive"	""	"Human herpesvirus 4"
"ELMI002970"	"LIG"	"LIG_CSL_BTD_1"	"EBNA6_EBVB9"	"P03204"	"P03204 Q777E7"	"96"	"99"	"21475249"	"glutathione s tranferase tag; pull down"	"true positive"	""	"Human herpesvirus 4 (strain B95-8)"
"ELMI002962"	"LIG"	"LIG_CSL_BTD_1"	"F5H9D8_HHV8"	"F5H9D8"	"F5H9D8"	"203"	"206"	"20861242"	"anti tag coimmunoprecipitation; western blot"	"true positive"	""	"Human herpesvirus 8"
"ELMI002963"	"LIG"	"LIG_CSL_BTD_1"	"F5H9D8_HHV8"	"F5H9D8"	"F5H9D8"	"306"	"309"	"20861242"	"anti tag coimmunoprecipitation; western blot"	"true positive"	""	"Human herpesvirus 8"
"ELMI002964"	"LIG"	"LIG_CSL_BTD_1"	"F5H9D8_HHV8"	"F5H9D8"	"F5H9D8"	"487"	"490"	"20861242"	"anti tag coimmunoprecipitation; western blot"	"true positive"	""	"Human herpesvirus 8"
"ELMI002965"	"LIG"	"LIG_CSL_BTD_1"	"GLP1_CAEEL"	"P13508"	"P13508"	"803"	"806"	"16530045"	"inferred by author"	"true positive"	""	"Caenorhabditis elegans"
"ELMI002961"	"LIG"	"LIG_CSL_BTD_1"	"LIN12_CAEEL"	"P14585"	"P14585"	"944"	"947"	"16530045"	"mutation analysis; x-ray crystallography"	"true positive"	"2FO1"	"Caenorhabditis elegans"
"ELMI002957"	"LIG"	"LIG_CSL_BTD_1"	"NOTC1_HUMAN"	"P46531"	"P46531 Q59ED8 Q5SXM3"	"1767"	"1770"	"20028974 16530045"	"coimmunoprecipitation; inferred by author; isothermal titration calorimetry; x-ray crystallography"	"true positive"	""	"Homo sapiens"
"ELMI002958"	"LIG"	"LIG_CSL_BTD_1"	"NOTC2_HUMAN"	"Q04721"	"Q04721 Q5T3X7 Q99734 Q9H240"	"1709"	"1712"	"16530045"	"inferred by author"	"true positive"	""	"Homo sapiens"
"ELMI002959"	"LIG"	"LIG_CSL_BTD_1"	"NOTC3_HUMAN"	"Q9UM47"	"Q9UM47 Q9UEB3 Q9UPL3 Q9Y6L8"	"1674"	"1677"	"16530045"	"inferred by author"	"true positive"	""	"Homo sapiens"
"ELMI002960"	"LIG"	"LIG_CSL_BTD_1"	"NOTC4_HUMAN"	"Q99466"	"Q99466 B0V183 B0V1X5 O00306 Q5SSY7 Q99458 Q99940 Q9H3S8 Q9UII9 Q9UIJ0"	"1481"	"1484"	"16530045"	"inferred by author"	"true positive"	""	"Homo sapiens"
"ELMI002977"	"LIG"	"LIG_CSL_BTD_1"	"RITA1_XENLA"	"P0CJ62"	"P0CJ62"	"70"	"73"	"21102556"	"coimmunoprecipitation; fluorescence microscopy; glutathione s tranferase tag; pull down; two hybrid; western blot"	"true positive"	""	"Xenopus laevis"
"ELMI002978"	"LIG"	"LIG_CSL_BTD_1"	"RITA1_XENLA"	"P0CJ62"	"P0CJ62"	"142"	"145"	"21102556"	"coimmunoprecipitation; fluorescence microscopy; glutathione s tranferase tag; pull down; two hybrid; western blot"	"true positive"	""	"Xenopus laevis"
"ELMI002972"	"LIG"	"LIG_CSL_BTD_1"	"Z324B_HUMAN"	"Q6AW86"	"Q6AW86 B2RTZ6 Q6ZMX8 Q6ZS42"	"59"	"62"	""	"inferred by curator"	"true positive"	""	"Homo sapiens"
"ELMI000255"	"LIG"	"LIG_CtBP_PxDLS_1"	"CBX4_HUMAN"	"O00257"	"O00257 Q6TPI8 Q96C04"	"472"	"476"	"9858600"	"two hybrid"	"true positive"	""	"Homo sapiens"
"ELMI000078"	"LIG"	"LIG_CtBP_PxDLS_1"	"COM1_HUMAN"	"Q99708"	"Q99708 O75371"	"490"	"494"	"9535825"	"competition binding"	"true positive"	""	"Homo sapiens"
"ELMI000263"	"LIG"	"LIG_CtBP_PxDLS_1"	"E1A_ADE02"	"P03254"	"P03254 P24934 Q67788"	"279"	"283"	"7479821"	"coimmunoprecipitation; glutathione s tranferase tag; mutation analysis; pull down; two hybrid"	"true positive"	""	"Human adenovirus 2"
"ELMI000087"	"LIG"	"LIG_CtBP_PxDLS_1"	"ELK3_HUMAN"	"P41970"	"P41970 B2R6S6 Q6FG57 Q6GU29 Q9UD17"	"273"	"277"	"10369679"	"two hybrid"	"true positive"	""	"Homo sapiens"
"ELMI000082"	"LIG"	"LIG_CtBP_PxDLS_1"	"EVI1_HUMAN"	"Q03112"	"Q03112 A1L4F3 A8KA00 B7Z8W7 B7ZLQ3 B7ZLQ4 C9JAK0 D3DNP7 Q16122 Q5HYI1 Q6MZS6 Q8NEI5 Q99917"	"584"	"588"	"11965542"	"alanine scanning"	"true positive"	""	"Homo sapiens"
"ELMI000253"	"LIG"	"LIG_CtBP_PxDLS_1"	"FOG1_HUMAN"	"Q8IX07"	"Q8IX07"	"794"	"798"	"10995736"	"mutation analysis"	"true positive"	""	"Homo sapiens"
"ELMI000081"	"LIG"	"LIG_CtBP_PxDLS_1"	"FOG2_HUMAN"	"Q8WW38"	"Q8WW38 Q32MA6 Q9NPL7 Q9NPS4 Q9UNI5"	"829"	"833"	"11940669"	"sequence based prediction"	"true positive"	""	"Homo sapiens"
"ELMI000086"	"LIG"	"LIG_CtBP_PxDLS_1"	"HAIR_DROME"	"P14003"	"P14003 A4V1N7 Q95NH3 Q95NU9 Q9VSN8"	"318"	"322"	"9524128"	"two hybrid"	"true positive"	""	"Drosophila melanogaster"
"ELMI000213"	"LIG"	"LIG_CtBP_PxDLS_1"	"HDAC4_HUMAN"	"P56524"	"P56524 Q9UND6"	"48"	"52"	"11022042"	"sequence based prediction"	"true positive"	""	"Homo sapiens"
"ELMI000212"	"LIG"	"LIG_CtBP_PxDLS_1"	"HDAC5_HUMAN"	"Q9UQL6"	"Q9UQL6 C9JFV9 O60340 O60528 Q96DY4"	"56"	"60"	"11022042"	"sequence based prediction"	"true positive"	""	"Homo sapiens"
"ELMI000211"	"LIG"	"LIG_CtBP_PxDLS_1"	"HDAC7_MOUSE"	"Q8C2B3"	"Q8C2B3 Q8C2C9 Q8C8X4 Q8CB80 Q8CDA3 Q9JL72"	"22"	"26"	"11022042"	"sequence based prediction"	"true positive"	""	"Mus musculus"
"ELMI000210"	"LIG"	"LIG_CtBP_PxDLS_1"	"HDAC9_MOUSE"	"Q99N13"	"Q99N13 Q4QQN7 Q8R4Y6 Q9EPT2"	"23"	"27"	"11022042"	"coimmunoprecipitation"	"true positive"	""	"Mus musculus"
"ELMI000216"	"LIG"	"LIG_CtBP_PxDLS_1"	"HIC1_HUMAN"	"Q14526"	"Q14526 D3DTI4"	"241"	"246"	"12052894"	"two hybrid"	"true positive"	""	"Homo sapiens"
"ELMI000083"	"LIG"	"LIG_CtBP_PxDLS_1"	"IKZF1_HUMAN"	"Q13422"	"Q13422 A4D260 B4E0Z1 D3DVM5 O00598 Q53XL2 Q8WVA3"	"34"	"38"	"10766745"	"colocalization"	"true positive"	""	"Homo sapiens"
"ELMI000256"	"LIG"	"LIG_CtBP_PxDLS_1"	"IKZF4_HUMAN"	"Q9H2S9"	"Q9H2S9 Q96JP3"	"425"	"429"	"12444977"	"two hybrid"	"true positive"	""	"Homo sapiens"
"ELMI000079"	"LIG"	"LIG_CtBP_PxDLS_1"	"KLF3_HUMAN"	"P57682"	"P57682 Q6PIR1 Q86TN0 Q9P2X6"	"61"	"65"	"10756197"	"sequence based prediction"	"true positive"	""	"Homo sapiens"
"ELMI000080"	"LIG"	"LIG_CtBP_PxDLS_1"	"KLF8_HUMAN"	"O95600"	"O95600 Q2M246 Q59GV5 Q5HYQ5 Q5JXP7 Q6MZJ7 Q9UGC4"	"86"	"90"	"10756197"	"pull down"	"true positive"	""	"Homo sapiens"
"ELMI000088"	"LIG"	"LIG_CtBP_PxDLS_1"	"KNIR_DROME"	"P10734"	"P10734 Q540X6 Q9VPC6"	"331"	"335"	"9843507"	"mutation analysis"	"true positive"	""	"Drosophila melanogaster"
"ELMI000219"	"LIG"	"LIG_CtBP_PxDLS_1"	"LCOR_HUMAN"	"Q96JN0"	"Q96JN0 D3DR47 Q5VW16 Q7Z723 Q86T32 Q86T33 Q8N3L6"	"64"	"68"	"12535528"	"mutation analysis"	"true positive"	""	"Homo sapiens"
"ELMI000089"	"LIG"	"LIG_CtBP_PxDLS_1"	"NRIP1_HUMAN"	"P48552"	"P48552 Q8IWE8"	"440"	"444"	"11509661"	"two hybrid"	"true positive"	""	"Homo sapiens"
"ELMI000254"	"LIG"	"LIG_CtBP_PxDLS_1"	"Q91647_XENLA"	"Q91647"	"Q91647"	"455"	"459"	"9858600"	"two hybrid"	"true positive"	""	"Xenopus laevis"
"ELMI000215"	"LIG"	"LIG_CtBP_PxDLS_1"	"SOX6_HUMAN"	"P35712"	"P35712 Q86VX7 Q9BXQ3 Q9BXQ4 Q9BXQ5 Q9H0I8"	"424"	"428"	"11504872"	"two hybrid"	"true positive"	""	"Homo sapiens"
"ELMI000258"	"LIG"	"LIG_CtBP_PxDLS_1"	"T7L1A_XENLA"	"P70062"	"P70062"	"469"	"473"	"10375506"	"two hybrid"	"true positive"	""	"Xenopus laevis"
"ELMI000259"	"LIG"	"LIG_CtBP_PxDLS_1"	"T7L1A_XENLA"	"P70062"	"P70062"	"545"	"549"	"10375506"	"two hybrid"	"true positive"	""	"Xenopus laevis"
"ELMI000218"	"LIG"	"LIG_CtBP_PxDLS_1"	"TGIF1_HUMAN"	"Q15583"	"Q15583 Q6ICR0 Q8N5X9 Q9NRS0"	"153"	"157"	"10995736"	"alanine scanning"	"true positive"	""	"Homo sapiens"
"ELMI000257"	"LIG"	"LIG_CtBP_PxDLS_1"	"TRPS1_HUMAN"	"Q9UHF7"	"Q9UHF7 B4E1Z5 Q08AU2 Q9NWE1 Q9UHH6"	"1163"	"1167"	"12444977"	"two hybrid"	"true positive"	""	"Homo sapiens"
"ELMI000214"	"LIG"	"LIG_CtBP_PxDLS_1"	"TTKB_DROME"	"P17789"	"P17789 A4V3Q4 Q32KE0 Q9V9V1 Q9V9V3"	"593"	"597"	"10978285"	"alanine scanning"	"true positive"	""	"Drosophila melanogaster"
"ELMI000085"	"LIG"	"LIG_CtBP_PxDLS_1"	"ZEB1_HUMAN"	"P37275"	"P37275 Q12924 Q13800 Q5T968"	"734"	"738"	"10567582"	"two hybrid"	"true positive"	""	"Homo sapiens"
"ELMI000260"	"LIG"	"LIG_CtBP_PxDLS_1"	"ZEB2_HUMAN"	"O60315"	"O60315 A0JP09 Q9UED1"	"785"	"789"	"12714599"	"alanine scanning"	"true positive"	""	"Homo sapiens"
"ELMI000261"	"LIG"	"LIG_CtBP_PxDLS_1"	"ZEB2_HUMAN"	"O60315"	"O60315 A0JP09 Q9UED1"	"815"	"819"	"12714599"	"alanine scanning"	"true positive"	""	"Homo sapiens"
"ELMI000262"	"LIG"	"LIG_CtBP_PxDLS_1"	"ZEB2_HUMAN"	"O60315"	"O60315 A0JP09 Q9UED1"	"859"	"863"	"12714599"	"alanine scanning"	"true positive"	""	"Homo sapiens"
"ELMI000084"	"LIG"	"LIG_CtBP_PxDLS_1"	"ZFH1_DROME"	"P28166"	"P28166 Q59DT3 Q6NP51 Q8MSQ8 Q9VA39 Q9VA40"	"786"	"790"	"10359772"	"colocalization"	"true positive"	""	"Drosophila melanogaster"
"ELMI002901"	"LIG"	"LIG_DCNL_PONY_1"	"UBC12_HUMAN"	"P61081"	"P61081 O76069 Q8VC50"	"1"	"4"	"21940857 23201271"	"inhibitor; isothermal titration calorimetry; mass detection of residue modification; x-ray crystallography"	"true positive"	""	"Homo sapiens"
"ELMI002900"	"LIG"	"LIG_DCNL_PONY_1"	"UBE2F_HUMAN"	"Q969M7"	"Q969M7 A8K1Z8 B4DDT9 B4DFI1 B4DMK3 B4DZU2 B8ZZG2 C9J212 H9KVB9"	"1"	"4"	"23201271"	"inhibitor; isothermal titration calorimetry; mass detection of residue modification; x-ray crystallography"	"true positive"	""	"Homo sapiens"
"ELMI003619"	"LIG"	"LIG_deltaCOP1_diTrp_1"	"ARFG1_RAT"	"Q62848"	"Q62848"	"407"	"415"	"26578768 20211604"	"alanine scanning; coimmunoprecipitation; competition binding; isothermal titration calorimetry; mutation disrupting interaction; pull down"	"true positive"	""	"Rattus norvegicus"
"ELMI003620"	"LIG"	"LIG_deltaCOP1_diTrp_1"	"CEX1_YEAST"	"Q12453"	"Q12453 D6W2H1"	"755"	"761"	"9843492"	"alanine scanning; mutation disrupting interaction; phenotype-based detection assay; pull down; two hybrid; western blot"	"true positive"	""	"Saccharomyces cerevisiae S288c"
"ELMI003616"	"LIG"	"LIG_deltaCOP1_diTrp_1"	"DSL1_YEAST"	"P53847"	"P53847 D6W0T5"	"412"	"415"	"26578768 14504276"	"alanine scanning; isothermal titration calorimetry; mutation disrupting interaction; phenotype-based detection assay; pull down; two hybrid; x-ray crystallography"	"true positive"	"5FJZ"	"Saccharomyces cerevisiae S288c"
"ELMI003617"	"LIG"	"LIG_deltaCOP1_diTrp_1"	"DSL1_YEAST"	"P53847"	"P53847 D6W0T5"	"452"	"459"	"26578768 14504276"	"alanine scanning; isothermal titration calorimetry; phenotype-based detection assay; pull down; two hybrid; x-ray crystallography"	"true positive"	""	"Saccharomyces cerevisiae S288c"
"ELMI003618"	"LIG"	"LIG_deltaCOP1_diTrp_1"	"GCS1_YEAST"	"P35197"	"P35197 D6VRC9"	"347"	"352"	"26578768"	"isothermal titration calorimetry; mutation disrupting interaction; x-ray crystallography"	"true positive"	"5FJX"	"Saccharomyces cerevisiae S288c"
"ELMI004043"	"LIG"	"LIG_DLG_GKlike_1"	"BEGIN_RAT"	"O88881"	"O88881 O88882"	"596"	"604"	"9756850"	"beta galactosidase complementation; coimmunoprecipitation; two hybrid"	"true positive"	""	"Rattus norvegicus"
"ELMI004040"	"LIG"	"LIG_DLG_GKlike_1"	"DLGP1_HUMAN"	"O14490"	"O14490 A8MWN8 B2RMU8 B7WPA1 B7Z2H2 B7Z2I2 B7Z9Y4 O14489 P78335"	"372"	"380"	"29281827 22117215"	"fluorescence polarization spectroscopy; isothermal titration calorimetry; mutation disrupting interaction; x-ray crystallography"	"true positive"	"5YPO"	"Homo sapiens"
"ELMI004041"	"LIG"	"LIG_DLG_GKlike_1"	"DLGP1_HUMAN"	"O14490"	"O14490 A8MWN8 B2RMU8 B7WPA1 B7Z2H2 B7Z2I2 B7Z9Y4 O14489 P78335"	"403"	"411"	"22117215"	"fluorescence polarization spectroscopy"	"true positive"	""	"Homo sapiens"
"ELMI004036"	"LIG"	"LIG_DLG_GKlike_1"	"DLGP1_RAT"	"P97836"	"P97836 O54773 P97841"	"349"	"357"	"9115257 9024696"	"coimmunoprecipitation; colocalization; surface plasmon resonance; two hybrid; western blot"	"true positive"	""	"Rattus norvegicus"
"ELMI004034"	"LIG"	"LIG_DLG_GKlike_1"	"DLGP1_RAT"	"P97836"	"P97836 O54773 P97841"	"378"	"386"	"9024696"	"coimmunoprecipitation; colocalization; two hybrid; western blot"	"true positive"	""	"Rattus norvegicus"
"ELMI004035"	"LIG"	"LIG_DLG_GKlike_1"	"DLGP1_RAT"	"P97836"	"P97836 O54773 P97841"	"409"	"417"	"9694864"	"competition binding; two hybrid"	"true positive"	""	"Rattus norvegicus"
"ELMI004037"	"LIG"	"LIG_DLG_GKlike_1"	"DLGP2_RAT"	"P97837"	"P97837"	"437"	"445"	"9115257"	"surface plasmon resonance; two hybrid"	"true positive"	""	"Rattus norvegicus"
"ELMI004042"	"LIG"	"LIG_DLG_GKlike_1"	"DLGP3_HUMAN"	"O95886"	"O95886 Q5TDD5 Q9H3X7"	"393"	"401"	"29281827"	"coimmunoprecipitation; isothermal titration calorimetry; mutation disrupting interaction"	"true positive"	""	"Homo sapiens"
"ELMI004038"	"LIG"	"LIG_DLG_GKlike_1"	"DLGP3_RAT"	"P97838"	"P97838 Q6QQA8 Q6QQA9"	"497"	"505"	"9115257"	"two hybrid"	"true positive"	""	"Rattus norvegicus"
"ELMI004039"	"LIG"	"LIG_DLG_GKlike_1"	"DLGP4_RAT"	"P97839"	"P97839"	"394"	"402"	"9115257"	"two hybrid"	"true positive"	""	"Rattus norvegicus"
"ELMI004045"	"LIG"	"LIG_DLG_GKlike_1"	"GPSM2_MOUSE"	"Q8VDU0"	"Q8VDU0 Q8BLX3"	"405"	"412"	"22117215"	"fluorescence polarization spectroscopy; mutation disrupting interaction; x-ray crystallography"	"true positive"	"3UAT"	"Mus musculus"
"ELMI004047"	"LIG"	"LIG_DLG_GKlike_1"	"L2GL2_HUMAN"	"Q6P1M3"	"Q6P1M3 Q14521 Q9BR62"	"642"	"650"	"24513855"	"coimmunoprecipitation; fluorescence polarization spectroscopy; mutation disrupting interaction; pull down; x-ray crystallography"	"true positive"	"3WP0"	"Homo sapiens"
"ELMI004044"	"LIG"	"LIG_DLG_GKlike_1"	"Q9VB22_DROME"	"Q9VB22"	"Q9VB22"	"433"	"440"	"22545154"	"pull down; x-ray crystallography"	"true positive"	"3TVT"	"Drosophila melanogaster"
"ELMI004046"	"LIG"	"LIG_DLG_GKlike_1"	"SI1L1_HUMAN"	"O43166"	"O43166 J3KP19 O95321 Q9UDU4 Q9UNU4"	"1629"	"1637"	"22117215"	"fluorescence polarization spectroscopy"	"true positive"	""	"Homo sapiens"
"ELMI002440"	"LIG"	"LIG_Dynein_DLC8_1"	"B2L11_HUMAN"	"O43521-2"	"O43521 A8K2W2 O43522 Q0MSE7 Q0MSE8 Q0MSE9 Q53R28 Q6JTU6 Q6T851 Q6TE14 Q6TE15 Q6TE16 Q6V402 Q8WYL6 Q8WYL7 Q8WYL8 Q8WYL9 Q8WYM0 Q8WYM1"	"50"	"56"	"12591950 10198631"	"coimmunoprecipitation; mutation analysis; two hybrid"	"true positive"	""	"Homo sapiens"
"ELMI000264"	"LIG"	"LIG_Dynein_DLC8_1"	"B2L11_HUMAN"	"O43521"	"O43521 A8K2W2 O43522 Q0MSE7 Q0MSE8 Q0MSE9 Q53R28 Q6JTU6 Q6T851 Q6TE14 Q6TE15 Q6TE16 Q6V402 Q8WYL6 Q8WYL7 Q8WYL8 Q8WYL9 Q8WYM0 Q8WYM1"	"110"	"116"	"11148209 11178896"	"glutathione s tranferase tag; nuclear magnetic resonance; pull down; two hybrid"	"true positive"	"1F95"	"Homo sapiens"
"ELMI000092"	"LIG"	"LIG_Dynein_DLC8_1"	"DC1I1_MOUSE"	"O88485"	"O88485 O88486 Q80W09"	"149"	"155"	"11148209"	"circular dichroism; competition binding; mutation analysis; nuclear magnetic resonance; pull down"	"true positive"	""	"Mus musculus"
"ELMI001218"	"LIG"	"LIG_Dynein_DLC8_1"	"DC1I2_HUMAN"	"Q13409"	"Q13409 D3DPD4 D3DPD5 D3DPD6 Q32LY9 Q53S84 Q5BJF8 Q7Z4X1 Q96NG7 Q96S87 Q9BXZ5 Q9NT58"	"156"	"162"	"17551010"	"x-ray crystallography"	"true positive"	"2PG1"	"Homo sapiens"
"ELMI001217"	"LIG"	"LIG_Dynein_DLC8_1"	"DYIN_DROME"	"Q24246"	"Q24246 O96508 O96510 O96511 O96512 O96513 O96514 O96515 O96516 Q5U0Z1 Q86BQ5 Q9NG49 Q9TZR7 Q9TZR8 Q9TZR9 Q9TZS0 Q9VR78"	"128"	"134"	"17570393"	"nuclear magnetic resonance; x-ray crystallography"	"true positive"	"2P2T"	"Drosophila melanogaster"
"ELMI001722"	"LIG"	"LIG_Dynein_DLC8_1"	"PHOSP_RABVC"	"P22363"	"P22363 Q85414"	"142"	"148"	"17438267"	"mutation analysis"	"true positive"	""	"Rabies virus CVS-11"
"ELMI001216"	"LIG"	"LIG_Dynein_DLC8_1"	"SWA_DROME"	"P40688"	"P40688 Q9W400"	"289"	"295"	"10783235 11148209 17570393"	"coimmunoprecipitation; glutathione s tranferase tag; nuclear magnetic resonance; pull down; sequence based prediction; two hybrid; western blot; x-ray crystallography"	"true positive"	"2P1K"	"Drosophila melanogaster"
"ELMI000265"	"LIG"	"LIG_Dynein_DLC8_1"	"SWA_DROPS"	"Q9U9I5"	"Q9U9I5 Q29JJ4"	"281"	"287"	""	""	"true positive"	""	"Drosophila pseudoobscura pseudoobscura"
"ELMI000093"	"LIG"	"LIG_Dynein_DLC8_1"	"ZMY11_HUMAN"	"Q15326"	"Q15326 B2R6G8 Q5VUI1"	"451"	"457"	"11148209"	"glutathione s tranferase tag; pull down; sequence based prediction; two hybrid"	"true positive"	""	"Homo sapiens"
"ELMI002467"	"LIG"	"LIG_EABR_CEP55_1"	"PDC6I_HUMAN"	"Q8WUM4"	"Q8WUM4 Q9BX86 Q9NUN0 Q9P2H2 Q9UKL5"	"797"	"807"	"18948538 17853893 20176808"	"alanine scanning; anti tag coimmunoprecipitation; colocalization; competition binding; cosedimentation; gal4 vp16 complementation; glutathione s tranferase tag; isothermal titration calorimetry; mutation analysis; pull down; surface plasmon resonance; two hybrid; x-ray crystallography"	"true positive"	"3E1R"	"Homo sapiens"
"ELMI002466"	"LIG"	"LIG_EABR_CEP55_1"	"PDC6I_MOUSE"	"Q9WU78"	"Q9WU78 O88695 O89014 Q3TED2 Q8BSL8 Q8R0H5 Q99LR3 Q9QZN8"	"798"	"808"	"20176808"	"competition binding; gal4 vp16 complementation"	"true positive"	""	"Mus musculus"
"ELMI002465"	"LIG"	"LIG_EABR_CEP55_1"	"TEX14_HUMAN"	"Q8IWB6"	"Q8IWB6 A6NH19 Q7RTP3 Q8ND97 Q9BXT9"	"792"	"802"	"20176808"	"competition binding; gal4 vp16 complementation; mutation analysis; two hybrid"	"true positive"	""	"Homo sapiens"
"ELMI002464"	"LIG"	"LIG_EABR_CEP55_1"	"TEX14_MOUSE"	"Q7M6U3"	"Q7M6U3 B2KGL0 Q3UT36 Q5NC10 Q5NC11 Q8CGK1 Q8CGK2 Q99MV8"	"788"	"798"	"20176808"	"anti tag coimmunoprecipitation; competition binding; gal4 vp16 complementation; mutation analysis; two hybrid"	"true positive"	""	"Mus musculus"
"ELMI002469"	"LIG"	"LIG_EABR_CEP55_1"	"TS101_HUMAN"	"Q99816"	"Q99816 Q9BUM5"	"154"	"164"	"18948538 17853893 20176808"	"alanine scanning; anti tag coimmunoprecipitation; colocalization; competition binding; cosedimentation; gal4 vp16 complementation; isothermal titration calorimetry; mutation analysis; two hybrid"	"true positive"	""	"Homo sapiens"
"ELMI002468"	"LIG"	"LIG_EABR_CEP55_1"	"TS101_MOUSE"	"Q61187"	"Q61187"	"155"	"165"	"20176808"	"competition binding; gal4 vp16 complementation"	"true positive"	""	"Mus musculus"
"ELMI002656"	"LIG"	"LIG_EF_ALG2_ABM_1"	"ANX11_HUMAN"	"P50995"	"P50995 B4DVE7"	"4"	"14"	"11883939 12445460"	"far western blotting; mutation analysis; surface plasmon resonance; two hybrid"	"true positive"	""	"Homo sapiens"
